Player ID,Name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,cost,Position,Team,Power ranking,Saves
1,Granit Xhaka,7,8,2992,35,673.3,647,498,182,13,0,4,48,MID,Arsenal,94.6,
2,Mohamed Elneny,0,0,111,2,5.4,4.6,0,1.1,0,0,0,41,MID,Arsenal,94.6,
3,Rob Holding,1,0,562,13,10.3,152,54,21.6,0,0,0,42,DEF,Arsenal,94.6,
4,Thomas Partey,3,0,2480,28,439.6,513.2,240,119.5,11,0,5,47,MID,Arsenal,94.6,
5,Martin Ødegaard,15,8,3132,38,1100.4,960,920,298.3,13,0,4,69,MID,Arsenal,94.6,
6,Kieran Tierney,0,1,774,10,85.5,144,67,29.9,1,0,0,46,DEF,Arsenal,94.6,
7,Nicolas Pépé,0,0,0,0,0,0,0,0,0,0,0,53,MID,Arsenal,94.6,
8,Benjamin White,2,5,3054,35,491.2,649,159,130,15,0,5,50,DEF,Arsenal,94.6,
9,Eddie Nketiah,4,2,1071,16,128.2,213.4,598,93.1,2,0,3,63,FWD,Arsenal,94.6,
10,Emile Smith Rowe,0,2,161,5,64.3,36.6,39,13.8,0,0,0,56,MID,Arsenal,94.6,
11,Bukayo Saka,14,12,3183,42,1091.8,972.2,1164,322.8,12,0,6,80,MID,Arsenal,94.6,
12,Takehiro Tomiyasu,0,1,651,11,86.6,137,55,27.7,2,0,2,42,DEF,Arsenal,94.6,
13,Aaron Ramsdale,0,0,3420,43,0,761.4,0,76.2,14,0,1,48,GK,Arsenal,94.6,94
14,Gabriel dos Santos Magalhães,3,0,3409,43,129.7,733.8,401,126.5,14,0,5,52,DEF,Arsenal,94.6,
15,Nuno Varela Tavares,0,0,0,0,0,0,0,0,0,0,0,45,DEF,Arsenal,94.6,
16,Gabriel Martinelli Silva,15,9,2789,33,838.1,844.2,1300,298.1,14,0,3,65,MID,Arsenal,94.6,
17,Pablo Marí Villar,0,0,0,0,0,0,0,0,0,0,0,45,DEF,Arsenal,94.6,
18,Lucas Torreira di Pascua,0,0,0,0,0,0,0,0,0,0,0,45,MID,Arsenal,94.6,
19,Reiss Nelson,3,3,202,3,99.2,169.8,155,42.4,1,0,0,47,MID,Arsenal,94.6,
20,Matt Turner,0,0,0,0,0,0,0,0,0,0,0,38,GK,Arsenal,94.6,0
21,Fábio Ferreira Vieira,1,2,500,5,180.1,115.2,123,41.4,2,0,0,56,MID,Arsenal,94.6,
22,William Saliba,2,1,2415,25,100.8,529,114,74.5,12,0,4,49,DEF,Arsenal,94.6,
23,Marcus Oliveira Alencar,0,0,1,0,0.2,0,0,0,0,0,0,46,MID,Arsenal,94.6,
24,Gabriel Fernando de Jesus,11,7,2064,23,407.3,594.2,1282,228.3,9,0,6,81,FWD,Arsenal,94.6,
25,Leandro Trossard,8,13,2237,38,687.1,620,859,216.6,8,0,1,66,MID,Arsenal,94.6,
26,Jorge Luiz Frello Filho,2,2,2127,23,254.1,386.4,97,73.9,9,0,4,57,MID,Arsenal,94.6,
27,Oleksandr Zinchenko,1,2,2122,28,387.7,405,190,98.3,10,0,3,50,DEF,Arsenal,94.6,
28,Matthew Smith,0,0,0,0,0,0,0,0,0,0,0,44,MID,Arsenal,94.6,
29,Ethan Nwaneri,0,0,1,0,0,0,0,0,0,0,0,45,MID,Arsenal,94.6,
30,Lino Sousa,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Arsenal,94.6,
31,Karl Hein,0,0,0,0,0,0,0,0,0,0,0,39,GK,Arsenal,94.6,0
32,Amario Cozier-Duberry,0,0,0,0,0,0,0,0,0,0,0,45,MID,Arsenal,94.6,
33,Nathan Butler-Oyedeji,0,0,0,0,0,0,0,0,0,0,0,45,FWD,Arsenal,94.6,
34,Jakub Kiwior,1,0,425,6,4.1,53.6,4,6.3,2,0,0,40,DEF,Arsenal,94.6,
35,Reuell Walters,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Arsenal,94.6,
36,Mauro Bandeira,0,0,0,0,0,0,0,0,0,0,0,45,MID,Arsenal,94.6,
37,Philippe Coutinho Correia,1,0,777,9,152.5,119.2,218,48.8,3,0,3,66,MID,Aston Villa,90.3,
38,Emiliano Martínez Romero,0,0,3139,38,23,813,0,83.5,11,0,7,50,GK,Aston Villa,90.3,97
39,Calum Chambers,0,0,345,4,29.8,74.4,8,11.1,0,0,2,42,DEF,Aston Villa,90.3,
