Player ID,Name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,cost,Position,Team,Power ranking,Saves,games,ClubID,ClubPower,Predicted Performace index,Cost Efficiency
1,Granit Xhaka,7,8,2992,35,673.3,647.0,498,182.0,13,0,4,48,MID,Arsenal,94.6,,33,0,94.6,29,0.6041666666666666
3,Rob Holding,1,0,562,13,10.3,152.0,54,21.6,0,0,0,42,DEF,Arsenal,94.6,,6,0,94.6,3,0.07142857142857142
4,Thomas Partey,3,0,2480,28,439.6,513.2,240,119.5,11,0,5,47,MID,Arsenal,94.6,,27,0,94.6,19,0.40425531914893614
5,Martin Ødegaard,15,8,3132,38,1100.4,960.0,920,298.3,13,0,4,85,MID,Arsenal,94.6,,34,0,94.6,47,0.5529411764705883
6,Kieran Tierney,0,1,774,10,85.5,144.0,67,29.9,1,0,0,46,DEF,Arsenal,94.6,,8,0,94.6,4,0.08695652173913043
8,Benjamin White,2,5,3054,35,491.2,649.0,159,130.0,15,0,5,50,DEF,Arsenal,94.6,,33,0,94.6,20,0.4
9,Eddie Nketiah,4,2,1071,16,128.2,213.4,598,93.1,2,0,3,55,FWD,Arsenal,94.6,,11,0,94.6,6,0.10909090909090909
11,Bukayo Saka,14,12,3183,42,1091.8,972.2,1164,322.8,12,0,6,85,MID,Arsenal,94.6,,35,0,94.6,51,0.6
12,Takehiro Tomiyasu,0,1,651,11,86.6,137.0,55,27.7,2,0,2,42,DEF,Arsenal,94.6,,7,0,94.6,4,0.09523809523809523
13,Aaron Ramsdale,0,0,3420,43,0.0,761.4,0,76.2,14,0,1,50,GK,Arsenal,94.6,94.0,38,0,94.6,12,0.24
14,Gabriel dos Santos Magalhães,3,0,3409,43,129.7,733.8,401,126.5,14,0,5,50,DEF,Arsenal,94.6,,37,0,94.6,19,0.38
16,Gabriel Martinelli Silva,15,9,2789,33,838.1,844.2,1300,298.1,14,0,3,65,MID,Arsenal,94.6,,30,0,94.6,47,0.7230769230769231
21,Fábio Ferreira Vieira,1,2,500,5,180.1,115.2,123,41.4,2,0,0,56,MID,Arsenal,94.6,,5,0,94.6,6,0.10714285714285714
22,William Saliba,2,1,2415,25,100.8,529.0,114,74.5,12,0,4,50,DEF,Arsenal,94.6,,26,0,94.6,11,0.22
24,Gabriel Fernando de Jesus,11,7,2064,23,407.3,594.2,1282,228.3,9,0,6,81,FWD,Arsenal,94.6,,22,0,94.6,16,0.19753086419753085
25,Leandro Trossard,8,13,2237,38,687.1,620.0,859,216.6,8,0,1,70,MID,Arsenal,94.6,,24,0,94.6,34,0.4857142857142857
26,Jorge Luiz Frello Filho,2,2,2127,23,254.1,386.4,97,73.9,9,0,4,57,MID,Arsenal,94.6,,23,0,94.6,11,0.19298245614035087
27,Oleksandr Zinchenko,1,2,2122,28,387.7,405.0,190,98.3,10,0,3,50,DEF,Arsenal,94.6,,23,0,94.6,15,0.3
34,Jakub Kiwior,1,0,425,6,4.1,53.6,4,6.3,2,0,0,40,DEF,Arsenal,94.6,,4,0,94.6,1,0.025
37,Philippe Coutinho Correia,1,0,777,9,152.5,119.2,218,48.8,3,0,3,66,MID,Aston Villa,90.3,,8,1,90.3,7,0.10606060606060606
38,Emiliano Martínez Romero,0,0,3139,38,23.0,813.0,0,83.5,11,0,7,50,GK,Aston Villa,90.3,97.0,34,1,90.3,12,0.24
39,Calum Chambers,0,0,345,4,29.8,74.4,8,11.1,0,0,2,42,DEF,Aston Villa,90.3,,3,1,90.3,1,0.023809523809523808
40,Lucas Digne,1,0,1492,25,293.3,271.4,92,65.8,3,0,5,45,DEF,Aston Villa,90.3,,16,1,90.3,9,0.2
44,John McGinn,1,5,2692,31,349.2,375.0,326,105.1,10,0,7,51,MID,Aston Villa,90.3,,29,1,90.3,16,0.3137254901960784
46,Tyrone Mings,1,3,3150,40,87.7,657.2,121,87.0,12,0,7,45,DEF,Aston Villa,90.3,,35,1,90.3,12,0.26666666666666666
47,Ollie Watkins,15,8,3129,40,408.5,792.0,1268,247.0,13,0,4,80,FWD,Aston Villa,90.3,,34,1,90.3,17,0.2125
49,Emiliano Buendía Stati,5,3,2404,34,546.3,438.2,580,156.6,11,0,0,57,MID,Aston Villa,90.3,,26,1,90.3,24,0.42105263157894735
50,Matty Cash,0,2,1817,29,178.0,298.4,67,54.4,4,0,4,46,DEF,Aston Villa,90.3,,20,1,90.3,8,0.17391304347826086
51,Ezri Konsa Ngoyo,0,0,3322,45,116.1,560.4,72,74.9,12,0,6,44,DEF,Aston Villa,90.3,,36,1,90.3,11,0.25
52,Leon Bailey,4,5,1964,32,439.1,334.2,532,130.1,8,0,4,43,MID,Aston Villa,90.3,,21,1,90.3,19,0.4418604651162791
53,Douglas Luiz Soares de Paulo,6,7,2922,35,655.4,661.6,242,155.8,13,1,6,48,MID,Aston Villa,90.3,,32,1,90.3,23,0.4791666666666667
54,Jacob Ramsey,6,8,2634,33,496.7,607.2,424,152.8,11,0,5,51,MID,Aston Villa,90.3,,29,1,90.3,23,0.45098039215686275
59,Boubacar Kamara,0,1,1773,30,123.4,275.8,39,43.9,3,0,4,48,MID,Aston Villa,90.3,,19,1,90.3,6,0.125
63,Leander Dendoncker,0,0,897,14,96.1,143.4,64,30.6,4,0,0,47,MID,Aston Villa,90.3,,9,1,90.3,4,0.0851063829787234
66,Ashley Young,1,0,2031,28,223.4,380.2,81,68.7,9,0,7,43,DEF,Everton,84.2,,22,2,84.2,9,0.20930232558139536
70,Alexandre Moreno Lopera,0,3,1325,10,321.1,254.4,151,72.3,7,0,3,45,DEF,Aston Villa,90.3,,14,1,90.3,10,0.2222222222222222
79,Adam Smith,0,1,2940,58,261.6,406.2,88,75.7,7,0,11,43,DEF,Bournemouth,85.1,,32,3,85.1,10,0.23255813953488372
81,Ryan Fredericks,0,0,527,11,26.7,66.0,12,10.6,0,0,1,44,DEF,Bournemouth,85.1,,5,3,85.1,1,0.022727272727272728
84,Kieffer Moore,4,0,1269,34,89.6,216.2,272,57.3,3,0,1,49,FWD,Bournemouth,85.1,,14,3,85.1,3,0.061224489795918366
86,Jefferson Lerma Solís,5,0,3252,67,293.6,616.6,311,122.1,7,0,7,47,MID,Bournemouth,85.1,,36,3,85.1,17,0.3617021276595745
88,Dominic Solanke,6,10,2865,52,279.9,524.8,1046,184.4,8,0,2,56,FWD,Bournemouth,85.1,,31,3,85.1,12,0.21428571428571427
89,Lewis Cook,0,2,1712,39,352.5,313.0,45,71.2,3,0,4,49,MID,Bournemouth,85.1,,19,3,85.1,10,0.20408163265306123
91,Ryan Christie,1,2,1825,35,421.7,282.0,400,110.5,3,0,2,53,MID,Bournemouth,85.1,,20,3,85.1,15,0.2830188679245283
92,Philip Billing,7,2,2766,54,388.8,622.0,441,145.2,9,0,5,50,MID,Bournemouth,85.1,,30,3,85.1,21,0.42
93,Chris Mepham,0,0,2197,52,54.4,556.4,134,74.4,5,0,7,43,DEF,Bournemouth,85.1,,24,3,85.1,10,0.23255813953488372
94,Mark Travers,0,0,1035,32,0.0,253.0,0,25.4,2,0,0,41,GK,Bournemouth,85.1,36.0,11,3,85.1,3,0.07317073170731707
95,Lloyd Kelly,0,2,2040,38,97.7,394.0,26,52.1,5,0,3,43,DEF,Bournemouth,85.1,,22,3,85.1,7,0.16279069767441862
97,Jaidon Anthony,3,1,1241,29,209.1,299.4,263,77.2,2,0,2,52,MID,Bournemouth,85.1,,13,3,85.1,11,0.21153846153846154
98,Jordan Zemura,0,1,1452,31,232.8,269.4,71,57.1,5,0,1,42,DEF,Bournemouth,85.1,,16,3,85.1,7,0.16666666666666666
100,Jack Stephens,0,0,1218,24,57.3,270.0,51,38.0,4,0,3,43,DEF,Bournemouth,85.1,,13,3,85.1,5,0.11627906976744186
101,Joe Rothwell,0,1,1010,15,153.3,127.4,27,30.6,3,0,1,49,MID,Bournemouth,85.1,,11,3,85.1,4,0.08163265306122448
